#
# National Water Information System
# 2023/10/22
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
state_cd	nat_aqfr_cd	nat_aqfr_nm
02	N100AKUNCD	Alaska unconsolidated-deposit aquifers
01	N100ALLUVL	Alluvial aquifers
05	N100ALLUVL	Alluvial aquifers
08	N100ALLUVL	Alluvial aquifers
10	N100ALLUVL	Alluvial aquifers
18	N100ALLUVL	Alluvial aquifers
20	N100ALLUVL	Alluvial aquifers
21	N100ALLUVL	Alluvial aquifers
22	N100ALLUVL	Alluvial aquifers
24	N100ALLUVL	Alluvial aquifers
29	N100ALLUVL	Alluvial aquifers
30	N100ALLUVL	Alluvial aquifers
31	N100ALLUVL	Alluvial aquifers
34	N100ALLUVL	Alluvial aquifers
36	N100ALLUVL	Alluvial aquifers
38	N100ALLUVL	Alluvial aquifers
39	N100ALLUVL	Alluvial aquifers
40	N100ALLUVL	Alluvial aquifers
42	N100ALLUVL	Alluvial aquifers
46	N100ALLUVL	Alluvial aquifers
47	N100ALLUVL	Alluvial aquifers
48	N100ALLUVL	Alluvial aquifers
49	N100ALLUVL	Alluvial aquifers
51	N100ALLUVL	Alluvial aquifers
54	N100ALLUVL	Alluvial aquifers
56	N100ALLUVL	Alluvial aquifers
04	N100BSNRGB	Basin and Range basin-fill aquifers
06	N100BSNRGB	Basin and Range basin-fill aquifers
16	N100BSNRGB	Basin and Range basin-fill aquifers
32	N100BSNRGB	Basin and Range basin-fill aquifers
35	N100BSNRGB	Basin and Range basin-fill aquifers
41	N100BSNRGB	Basin and Range basin-fill aquifers
49	N100BSNRGB	Basin and Range basin-fill aquifers
06	N100CACSTL	California Coastal Basin aquifers
16	N100CMBPLB	Columbia Plateau basin-fill aquifers
41	N100CMBPLB	Columbia Plateau basin-fill aquifers
53	N100CMBPLB	Columbia Plateau basin-fill aquifers
09	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
17	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
18	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
19	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
20	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
21	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
23	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
25	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
26	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
27	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
29	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
30	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
31	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
33	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
34	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
36	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
38	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
39	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
42	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
44	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
46	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
50	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
55	N100GLCIAL	Sand and gravel aquifers (glaciated regions)
08	N100HGHPLN	High Plains aquifer
20	N100HGHPLN	High Plains aquifer
31	N100HGHPLN	High Plains aquifer
35	N100HGHPLN	High Plains aquifer
40	N100HGHPLN	High Plains aquifer
46	N100HGHPLN	High Plains aquifer
48	N100HGHPLN	High Plains aquifer
56	N100HGHPLN	High Plains aquifer
05	N100MSRVVL	Mississippi River Valley alluvial aquifer
17	N100MSRVVL	Mississippi River Valley alluvial aquifer
21	N100MSRVVL	Mississippi River Valley alluvial aquifer
22	N100MSRVVL	Mississippi River Valley alluvial aquifer
28	N100MSRVVL	Mississippi River Valley alluvial aquifer
29	N100MSRVVL	Mississippi River Valley alluvial aquifer
47	N100MSRVVL	Mississippi River Valley alluvial aquifer
06	N100PCFNWB	Pacific Northwest basin-fill aquifers
16	N100PCFNWB	Pacific Northwest basin-fill aquifers
32	N100PCFNWB	Pacific Northwest basin-fill aquifers
41	N100PCFNWB	Pacific Northwest basin-fill aquifers
49	N100PCFNWB	Pacific Northwest basin-fill aquifers
53	N100PCFNWB	Pacific Northwest basin-fill aquifers
56	N100PCFNWB	Pacific Northwest basin-fill aquifers
06	N100PCFNWV	Pacific Northwest volcanic-rock aquifers
16	N100PCFNWV	Pacific Northwest volcanic-rock aquifers
30	N100PCFNWV	Pacific Northwest volcanic-rock aquifers
32	N100PCFNWV	Pacific Northwest volcanic-rock aquifers
41	N100PCFNWV	Pacific Northwest volcanic-rock aquifers
49	N100PCFNWV	Pacific Northwest volcanic-rock aquifers
53	N100PCFNWV	Pacific Northwest volcanic-rock aquifers
56	N100PCFNWV	Pacific Northwest volcanic-rock aquifers
35	N100PCSRVR	Pecos River Basin alluvial aquifer
48	N100PCSRVR	Pecos River Basin alluvial aquifer
48	N100SYMOUR	Seymour aquifer
41	N100WLMLWD	Willamette Lowland basin-fill aquifers
53	N100WLMLWD	Willamette Lowland basin-fill aquifers
40	N300ADAVMS	Ada-Vamoosa aquifer
40	N300CNRLOK	Central Oklahoma aquifer
04	N300COPLTS	Colorado Plateaus aquifers
08	N300COPLTS	Colorado Plateaus aquifers
35	N300COPLTS	Colorado Plateaus aquifers
49	N300COPLTS	Colorado Plateaus aquifers
56	N300COPLTS	Colorado Plateaus aquifers
09	N300ERLMZC	Early Mesozoic basin aquifers
24	N300ERLMZC	Early Mesozoic basin aquifers
25	N300ERLMZC	Early Mesozoic basin aquifers
34	N300ERLMZC	Early Mesozoic basin aquifers
36	N300ERLMZC	Early Mesozoic basin aquifers
37	N300ERLMZC	Early Mesozoic basin aquifers
42	N300ERLMZC	Early Mesozoic basin aquifers
51	N300ERLMZC	Early Mesozoic basin aquifers
26	N300JCBSVL	Jacobsville aquifer
55	N300JCBSVL	Jacobsville aquifer
